BIBLIOTECA;CALLE;ALTURA;CALLE_2;PISO;TELEFONO;OBSERVACIONES;DIRECCION NORMALIZADA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
HILARIO ASCASUBI;GRAL. CESAR DIAZ;4219;;;4566-5171;;DIAZ, CESAR, GRAL. 4219;FLORESTA;COMUNA 10;1407;C1407ETS;-34.62333665228725;-58.49222267785678
ENRIQUE BANCHS;CASEROS;;URQUIZA;;4943-1078;;CASEROS AV. Y URQUIZA, GRAL.;PARQUE PATRICIOS;COMUNA 4;;;-34.637456745540455;-58.4075568141642
ESTANISLAO DEL CAMPO;PJE. DE LAS ARTES;1210;;;4926-0161;;DE LAS ARTES 1210;PARQUE CHACABUCO;COMUNA 7;1424;C1424BCH;-34.63405163873506;-58.43833769628057
MIGUEL CANE;CARLOS CALVO;4319;;;4922-0020;;CALVO, CARLOS AV. 4319;BOEDO;COMUNA 5;1230;C1230ABY;-34.62500984732599;-58.426347208106826
EVARISTO CARRIEGO;HONDURAS;3784;;;4963-2194;CERRADA POR REPARACIONES;HONDURAS AV. 3784;PALERMO;COMUNA 14;1180;C1180ACB;-34.59414260532148;-58.416113552182196
MARTIN DEL BARCO CENTENERA;VENEZUELA;1538;;;4381-1271;;REPUBLICA BOLIVARIANA DE VENEZUELA 1538;MONSERRAT;COMUNA 1;1095;C1095ABF;-34.61471614652061;-58.38814023475865
CNGO. LUIS CHORROARIN;SOLDADO DE LA FRONTERA;5059;;BLOCK 23;4605-9341;;SOLDADO DE LA FRONTERA AV. 5059;VILLA LUGANO;COMUNA 8;1439;C1439FPC;-34.683799563163454;-58.4651088674231
CIRCE;AV. CORDOBA;1558;;;4812-4723;;CORDOBA AV. 1558;SAN NICOLAS;COMUNA 1;1055;C1055AAS;-34.59948861313386;-58.38913736769408
ANTONIO DEVOTO;BAHIA BLANCA;4025;;;4501-4320;;BAHIA BLANCA 4025;VILLA DEVOTO;COMUNA 11;1419;C1419BAI;-34.59931263732862;-58.51089425738464
MANUEL GALVEZ;AV. CORDOBA;1558;;;4812-4723;;CORDOBA AV. 1558;SAN NICOLAS;COMUNA 1;1055;C1055AAS;-34.59948861313386;-58.38913736769408
JOAQUIN V GONZALEZ;SUAREZ;408;;;4302-2481;;SUAREZ 408;BOCA;COMUNA 4;1162;C1162AEJ;-34.63541964192381;-58.359038291104554
RICARDO GÜIRALDES;TALCAHUANO;1261;;;4812-3118;;TALCAHUANO 1261;RETIRO;COMUNA 1;1014;C1014ADA;-34.59363837691059;-58.38594652452596
JOSE HERNANDEZ;BOQUERON;6753;;;4641-3673;;BOQUERON 6753;LINIERS;COMUNA 9;1408;C1408EHA;-34.64636248428189;-58.52096277810564
LA PRENSA;PEPIRI;;J. C. PAZ;;4912-2701;PLAZA NICARAGUA;PEPIRI Y PAZ, JOSE C.;PARQUE PATRICIOS;COMUNA 4;;;-34.645044390146666;-58.409714233949664
LEOPOLDO LUGONES;LA PAMPA;2215;;;4783-1567;;LA PAMPA 2215;BELGRANO;COMUNA 13;1428;C1428EAM;-34.563836841871286;-58.452594766080885
BENITO LYNCH;PJE. YRUPE;6714;;;4687-1977;;YRUPE 6714;MATADEROS;COMUNA 9;1440;C1440BND;-34.667673940723596;-58.496871893602545
JOSE MARMOL;JURAMENTO;2937;;;4781-7871;;JURAMENTO 2937;BELGRANO;COMUNA 13;1428;C1428DNY;-34.56494319731372;-58.461686953783115
JULIO CORTAZAR;LAVALLEJA;924;;1;5197-5084;;LAVALLEJA 924;VILLA CRESPO;COMUNA 15;1414;C1414DTT;-34.59788545498812;-58.42980235602607
BALDOMERO F. MORENO;CONCEPCION ARENAL;4206;;;4855-7508;;ARENAL, CONCEPCION 4206;CHACARITA;COMUNA 15;1427;C1427EKR;-34.59135317446172;-58.45036313662054
RAFAEL OBLIGADO;PJE. CRAINQUEVILLE;2233;;;4581-8640;;CRAINQUEVILLE 2233;VILLA SANTA RITA;COMUNA 11;1416;C1416AVC;-34.60957834444573;-58.48392035849958
MARIANO PELLIZA;PJE. CRANWELL;819;;;4631-0961;;CRANWELL 819;FLORES;COMUNA 7;1406;C1406EBG;-34.63780971007778;-58.456448620764405
CORNELIO SAAVEDRA;CRISOLOGO LARRALDE;6293;;;4571-2538;;LARRALDE, CRISOLOGO AV. 6293;SAAVEDRA;COMUNA 12;1431;C1431AQE;-34.56872051565525;-58.50724152216499
JULIO C. SAGUIER;AV. DELLEPIANE NORTE;4801;;TORRE 14 - PB;4635-4009;;DELLEPIANE, LUIS, TTE. GRAL. 4801;VILLA LUGANO;COMUNA 8;;;-34.66598171784383;-58.474500378369534
CARLOS GUIDO Y SPANO;GÜEMES;4601;;;4773-5862;;GUEMES 4601;PALERMO;COMUNA 14;1425;C1425BLI;-34.5813489321324;-58.42387420473248
