nombre,tipo,sup_tot(m2),frente(m),fondo(m),lat,lon,radio_imaginario
Villa 31,Villa,366000,300,1220,-34.583150, -58.379154,760
Villa 1-11-14,Villa,80000,200,400,-34.649663,-58.440863,300
Villa 3,Villa,260000,650,400,-34.659364,-58.453406,525
Villa 13,Villa,225.00,8.66,25.98,-34.643361,-58.444482,25.98
Villa 16,Villa,1011.00,26.00,38.88,-34.689311,-58.467016,38.88
Villa 17,Villa,10610.00,110.06,96.40,-34.676781,-58.495539,110.06
Villa 15,Villa,177000,885,200,-34.669466,-58.491299,542.5
Villa 20,Villa,131250,700,"187,5",-34.673819,-58.464347,443.75
Villa 21-24,Villa,525000,750,700,-34.653774,-58.398324,725
Villa 26,Villa,40000,400,100,-34.657345, -58.380833,250
villa piletones,Villa,1200000,1200,1000,-34.663450,-58.459489,1100
Villa 19,Villa,46000,230,200,-34.683676,-58.486395,215
Villa 6,Villa,70000,250,280,-34.658736,-58.473281,265
rodrigo bueno,Asentamiento,3335000,2300,1450,-34.607162,-58.351630,1875
saldias,Asentamiento,407467.00,170.19,2394.19,-34.577056,-58.393916,1500
bartolome mitre,Asentamiento,37858.00,139.50,271.38,-34.608371,-58.413291,271.38
el triangulo,Asentamiento,2705.00,52.88,51.15,-34.633964,-58.353865,52.88
lamadrid,Asentamiento,1586.00,60.11,26.38,-34.635856,-58.354354,60.11
magaldi,Asentamiento,8250.00,29.18,282.72,-34.661257,-58.393048,282.72
el pueblito,Asentamiento,3610.00,52.11,69.28,-34.658700, -58.415730,69.28
los pinos,Asentamiento,14543.00,66.58,218.42,-34.657094,-58.451178,218.42
portela,Asentamiento,621.00,303.05,2.05,-34.657128,-58.449348,303.05
paredon lacrozre,Asentamiento,10000,100,100,-34.586074,-58.455259,100
fraga,Asentamiento,36000,150,240,-34.584895,-58.457465,195
bosh,Asentamiento,6024.00,60.00,111.97,-34.656630,-58.377234,111.97
charlone,Asentamiento,373.00,8.52,43.78,-34.580348,-58.465227,43.78
del trabajo,Nht,24008.00,143.69,167.08,-34.669976,-58.494453,167.08
