iter	RMSE
0	282743.1045
1	243081.8849
2	216771.5104
3	207382.9174
4	200602.1229
5	194207.6263
6	189151.3247
7	184716.133
8	180809.7197
9	179043.573
10	175336.4341
11	174341.0636
12	173017.7865
13	171096.6781
14	169860.0775
15	169227.2503
16	167294.6946
17	164203.9912
18	163132.7857
19	161811.716
20	159736.5364
21	158746.1442
22	157245.1478
23	155173.9485
24	154609.753
25	154186.0516
26	154185.8223
27	150866.6396
28	150115.0419
29	148230.8822
30	147068.4189
31	146326.8458
32	145189.5501
33	144685.5204
34	144377.2695
35	143523.4702
36	143100.5809
37	141014.5894
38	140248.5893
39	139101.1648
40	138880.4085
41	137970.7044
42	137463.0388
43	137406.0996
44	136885.1931
45	136539.7358
46	136425.8605
47	135392.4677
48	135015.8447
49	134354.5674
50	134021.4347
51	133489.9838
52	133489.9802
53	133125.7377
54	132613.9856
55	132482.593
56	132481.5811
57	132481.581
58	132412.997
59	131860.606
60	131786.904
61	131786.873
62	131786.8725
63	131584.0536
64	131019.6019
65	130626.7298
66	130190.5196
67	129908.8447
68	129881.9062
69	129864.5409
70	129594.0682
71	129351.613
72	129129.3641
73	128660.3462
74	127775.7695
75	127685.2465
76	127288.2213
77	127182.6019
78	127137.8467
79	126775.5805
80	126749.9409
81	126445.5214
82	126323.9546
83	126317.6105
84	126164.1951
85	125964.3539
86	125768.0392
87	125767.9053
88	125762.3008
89	125651.42
90	125648.2788
91	124480.6642
92	124479.9359
93	124477.2573
94	124476.6738
95	124476.6444
96	124289.936
97	124082.0711
98	124082.0248
99	123837.5451
100	123837.5444
101	123720.5251
102	123643.3935
103	123472.9612
104	123244.2337
105	123044.2655
106	122764.0355
107	122204.7002
108	121884.0628
109	121715.0026
110	121613.2742
111	121352.1026
112	121069.8812
113	120836.8489
114	120688.4725
115	120688.2967
116	120574.1812
117	120235.9439
118	119604.0784
119	119520.586
120	119114.1348
121	119102.1962
122	119097.9539
123	119092.272
124	119092.2719
125	119072.4713
126	118992.7002
127	118717.3017
128	118708.1112
129	118355.3808
130	118290.3389
131	118167.6199
132	118074.1333
133	118072.2633
134	118018.5048
135	117877.0421
136	117629.5362
137	117610.2675
138	117610.1416
139	117481.4116
140	117465.479
141	117410.9202
142	117287.753
143	117108.7562
144	116841.3626
145	116731.7596
146	116709.8668
147	116689.6754
148	116675.5994
149	116503.3517
150	116432.1112
151	116324.2652
152	116273.3917
153	116201.8984
154	116120.1235
155	116074.1135
156	116073.1415
157	116073.1413
158	116073.1413
159	115950.6855
160	115950.6818
161	115950.6787
162	115902.0197
163	115822.8627
164	115647.9863
165	115611.0889
166	115609.1768
167	115272.6019
168	115272.4876
169	115230.243
170	115112.4837
171	114986.0105
172	114862.5307
173	114815.8544
174	114669.2994
175	114667.1967
176	114666.0576
177	114472.2354
178	114301.1177
179	114193.0688
180	113744.5533
181	113632.2513
182	113462.4892
183	113152.3649
184	113132.8726
185	113022.4583
186	112949.7508
187	112939.2859
188	112938.4068
189	112934.3713
190	112871.5658
191	112862.6708
192	112862.6685
193	112747.4391
194	112400.597
195	112239.6521
196	112239.5922
197	112134.9531
198	111989.9512
199	111851.5567
200	111830.132
201	111829.8078
202	111829.8021
203	111813.4476
204	111669.5231
205	111607.6461
206	111516.6988
207	111343.2288
208	111218.6203
209	111218.6127
210	111056.2716
211	110966.358
212	110961.934
213	110821.3493
214	110821.2922
215	110821.2864
216	110821.1332
217	110819.1061
218	110587.1539
219	110550.4806
220	110500.7349
221	110402.0785
222	110378.3225
223	110364.5644
224	110364.3837
225	110260.9459
226	110259.9359
227	110220.2891
228	110181.0453
229	110177.4632
230	109963.1591
231	109847.7147
232	109838.4081
233	109714.0401
234	109713.9141
235	109713.6172
236	109707.3777
237	109591.9094
238	109585.258
239	109536.4183
240	109536.3452
241	109474.1112
242	109366.1732
243	109328.0166
244	109166.9576
245	109110.4848
246	109099.3132
247	108922.699
